date	borough	n
191	2015-01-28	Brooklyn	8662
192	2015-01-28	EWR	0
193	2015-01-28	Manhattan	46908
194	2015-01-28	Queens	5275
195	2015-01-28	Staten Island	21
196	2015-01-28	Unknown	29
197	2015-01-29	Bronx	749
198	2015-01-29	Brooklyn	9272
199	2015-01-29	EWR	0
200	2015-01-29	Manhattan	54923
201	2015-01-29	Queens	5442
202	2015-01-29	Staten Island	28
203	2015-01-29	Unknown	27
204	2015-01-30	Bronx	956
205	2015-01-30	Brooklyn	12406
206	2015-01-30	EWR	0
207	2015-01-30	Manhattan	66299
208	2015-01-30	Queens	5844
209	2015-01-30	Staten Island	34
210	2015-01-30	Unknown	26
211	2015-01-31	Bronx	1024
212	2015-01-31	Brooklyn	18107
213	2015-01-31	EWR	0
214	2015-01-31	Manhattan	68820
215	2015-01-31	Queens	6422
216	2015-01-31	Staten Island	43
217	2015-01-31	Unknown	32
218	2015-02-01	Bronx	1058
219	2015-02-01	Brooklyn	16262
220	2015-02-01	EWR	0
221	2015-02-01	Manhattan	54340
222	2015-02-01	Queens	6858
223	2015-02-01	Staten Island	42
224	2015-02-01	Unknown	32
225	2015-02-02	Bronx	764
226	2015-02-02	Brooklyn	9556
227	2015-02-02	EWR	0
228	2015-02-02	Manhattan	52793
229	2015-02-02	Queens	7017
230	2015-02-02	Staten Island	32
231	2015-02-02	Unknown	31
232	2015-02-03	Bronx	838
233	2015-02-03	Brooklyn	9333
234	2015-02-03	EWR	0
235	2015-02-03	Manhattan	54501
236	2015-02-03	Queens	6809
237	2015-02-03	Staten Island	19
238	2015-02-03	Unknown	32
239	2015-02-04	Bronx	852
240	2015-02-04	Brooklyn	8926
241	2015-02-04	EWR	1
242	2015-02-04	Manhattan	53462
243	2015-02-04	Queens	4951
244	2015-02-04	Staten Island	19
245	2015-02-04	Unknown	26
246	2015-02-05	Bronx	891
247	2015-02-05	Brooklyn	10356
248	2015-02-05	EWR	0
249	2015-02-05	Manhattan	65436
250	2015-02-05	Queens	5605
251	2015-02-05	Staten Island	24
252	2015-02-05	Unknown	24
253	2015-02-06	Bronx	1080
254	2015-02-06	Brooklyn	12377
255	2015-02-06	EWR	0
256	2015-02-06	Manhattan	67679
257	2015-02-06	Queens	6361
258	2015-02-06	Staten Island	31
259	2015-02-06	Unknown	40
260	2015-02-07	Bronx	1190
261	2015-02-07	Brooklyn	16154
262	2015-02-07	EWR	1
263	2015-02-07	Manhattan	59138
264	2015-02-07	Queens	6186
265	2015-02-07	Staten Island	42
266	2015-02-07	Unknown	41
267	2015-02-08	Bronx	955
268	2015-02-08	Brooklyn	13452
269	2015-02-08	EWR	0
270	2015-02-08	Manhattan	43373
271	2015-02-08	Queens	6487
272	2015-02-08	Staten Island	33
273	2015-02-08	Unknown	27
274	2015-02-09	Bronx	728
275	2015-02-09	Brooklyn	9000
276	2015-02-09	EWR	0
277	2015-02-09	Manhattan	47904
278	2015-02-09	Queens	5633
279	2015-02-09	Staten Island	20
280	2015-02-09	Unknown	21
281	2015-02-10	Bronx	790
282	2015-02-10	Brooklyn	8937
283	2015-02-10	EWR	1
284	2015-02-10	Manhattan	50816
285	2015-02-10	Queens	5608
286	2015-02-10	Staten Island	22
287	2015-02-10	Unknown	23
288	2015-02-11	Bronx	839
289	2015-02-11	Brooklyn	9765
290	2015-02-11	EWR	0
291	2015-02-11	Manhattan	57321
292	2015-02-11	Queens	5764
293	2015-02-11	Staten Island	30
294	2015-02-11	Unknown	23
295	2015-02-12	Bronx	971
296	2015-02-12	Brooklyn	10758
297	2015-02-12	EWR	1
298	2015-02-12	Manhattan	66392
299	2015-02-12	Queens	6565
300	2015-02-12	Staten Island	28
301	2015-02-12	Unknown	36
302	2015-02-13	Bronx	1305
303	2015-02-13	Brooklyn	12759
304	2015-02-13	EWR	0
305	2015-02-13	Manhattan	77705
